,CustomerID,pfm_spent,fm_nb_orders,fm_nb_items,fm_total_spent,fm_used_coupon,first_order_month,fm_purchased_accessory,first_item_size,accepts_marketing,wealthy_zip,region,first_item_price_range
0,Anonymous13455,1054.8000000000002,6,6,253.0,0,7,1,M,0,0,MW,high
1,Anonymous2142,436.15000000000003,1,1,48.0,0,5,0,L,0,0,NE,high
2,Anonymous4843,856.75,4,6,292.0,0,10,0,S,1,0,W,high
3,Anonymous11225,614.1,4,4,130.0,0,2,1,No size,1,0,MW,low
4,Anonymous540,1114.75,1,1,50.0,0,1,0,XS,0,0,W,high
5,Anonymous8181,537.0,8,14,575.0,1,6,0,XL,0,0,MW,low
6,Anonymous11560,144.0,1,1,16.0,0,11,1,No size,0,0,W,low
7,Anonymous6363,430.0,1,3,76.0,0,7,0,S,0,0,S,low
8,Anonymous14618,797.75,4,5,211.25,1,7,0,S,0,0,W,high
9,Anonymous7500,866.0500000000001,2,4,157.0,0,2,1,XS,0,0,S,medium
10,Anonymous7017,830.1,5,9,420.0,0,6,0,L,0,1,NE,high
11,Anonymous10857,576.7,3,7,219.75,1,11,1,No size,0,0,S,low
12,Anonymous700,858.3,2,4,127.5,1,6,0,L,1,1,NE,medium
13,Anonymous3826,625.5,2,9,365.0,0,7,0,XL,0,0,W,medium
14,Anonymous11827,652.9,1,1,48.0,0,10,0,XS,0,0,MW,high
15,Anonymous13119,730.6,2,7,262.0,0,4,1,XS,0,0,NE,medium
16,Anonymous14946,714.75,3,6,279.0,0,8,0,XL,1,0,MW,high
17,Anonymous7299,0.0,2,4,137.0,0,9,0,L,1,1,S,low
18,Anonymous16228,852.4000000000001,1,1,50.0,0,6,0,M,0,0,W,high
19,Anonymous15630,492.8,3,4,200.0,0,2,0,M,0,0,NE,high
20,Anonymous12330,681.75,1,1,45.0,1,3,0,XL,0,0,NE,high
21,Anonymous5709,43.2,1,1,15.0,0,11,1,No size,0,0,S,low
22,Anonymous11529,219.2,2,2,96.0,0,10,0,S,0,0,S,high
23,Anonymous37,1430.2,3,16,576.0,1,5,0,S,0,0,MW,high
24,Anonymous838,758.6,1,3,133.0,0,5,0,L,1,0,S,low
25,Anonymous8795,521.1500000000001,1,2,64.8,1,12,0,M,0,0,MW,low
26,Anonymous15311,192.0,1,1,45.0,0,11,0,L,0,0,MW,medium
27,Anonymous3379,61.0,2,2,66.0,0,8,0,XS,0,0,MW,low
28,Anonymous7916,161.7,1,1,20.0,0,1,1,No size,0,0,S,low
29,Anonymous13278,292.2,4,7,242.7,1,7,0,L,0,0,MW,low
30,Anonymous4292,403.75,4,14,540.0,1,9,1,No size,1,0,W,low
31,Anonymous4691,419.0,2,2,98.0,0,2,1,M,0,0,S,high
32,Anonymous8578,190.7,1,2,61.0,0,10,1,S,1,1,W,medium
33,Anonymous407,437.5,2,3,92.0,0,5,1,No size,0,0,W,low
34,Anonymous8163,879.0,1,2,95.0,0,3,0,XL,1,0,W,high
35,Anonymous1654,679.7,3,5,149.0,1,1,1,M,1,0,MW,high
36,Anonymous2234,721.0,3,5,204.8,1,12,0,S,0,0,NE,medium
37,Anonymous1146,555.95,1,1,45.0,1,2,0,S,0,1,W,high
38,Anonymous5442,313.0,1,3,98.0,0,8,0,S,0,1,W,low
39,Anonymous3771,45.0,1,4,118.0,0,7,0,S,0,1,W,low
